method_id	metric_id	dataset_id	mean	stat	value	orig_metric_id	maximize	is_baseline	min	max	score
ground_truth	mean_rowwise_cosine_var	neurips-2023-data	1	var	0	mean_rowwise_cosine	FALSE	TRUE	0	3.297846966117506e-5	1
ground_truth	mean_rowwise_mae_var	neurips-2023-data	1	var	0	mean_rowwise_mae	FALSE	TRUE	0	2.0529029101755998e-5	1
ground_truth	mean_rowwise_rmse_var	neurips-2023-data	1	var	0	mean_rowwise_rmse	FALSE	TRUE	0	1.709468056776457e-5	1
jn_ap_op2	mean_rowwise_cosine_var	neurips-2023-data	0.24202502616	var	6.755057322156876e-6	mean_rowwise_cosine	FALSE	FALSE	0	3.297846966117506e-5	0.7951676535764338
jn_ap_op2	mean_rowwise_mae_var	neurips-2023-data	0.280485236607873	var	1.2150816035905667e-5	mean_rowwise_mae	FALSE	FALSE	0	2.0529029101755998e-5	0.40811540693532755
jn_ap_op2	mean_rowwise_rmse_var	neurips-2023-data	0.2925214991869436	var	1.709468056776457e-5	mean_rowwise_rmse	FALSE	FALSE	0	1.709468056776457e-5	0
lgc_ensemble	mean_rowwise_cosine_var	neurips-2023-data	0.36274590399	var	3.008850212118185e-5	mean_rowwise_cosine	FALSE	FALSE	0	3.297846966117506e-5	0.08763194804625862
lgc_ensemble	mean_rowwise_mae_var	neurips-2023-data	0.3780506342031229	var	2.0529029101755998e-5	mean_rowwise_mae	FALSE	FALSE	0	2.0529029101755998e-5	0
lgc_ensemble	mean_rowwise_rmse_var	neurips-2023-data	0.3806790816080965	var	1.5913250584437557e-5	mean_rowwise_rmse	FALSE	FALSE	0	1.709468056776457e-5	0.06911097160568391
mean_across_celltypes	mean_rowwise_cosine_var	neurips-2023-data	0.271643069971	var	3.297846966117506e-5	mean_rowwise_cosine	FALSE	TRUE	0	3.297846966117506e-5	0
mean_across_celltypes	mean_rowwise_mae_var	neurips-2023-data	0.34161333522169474	var	2.583162609769387e-6	mean_rowwise_mae	FALSE	TRUE	0	2.0529029101755998e-5	0.8741702495054464
mean_across_celltypes	mean_rowwise_rmse_var	neurips-2023-data	0.3409886696077293	var	3.0901571550588122e-6	mean_rowwise_rmse	FALSE	TRUE	0	1.709468056776457e-5	0.8192328225842418
mean_across_compounds	mean_rowwise_cosine_var	neurips-2023-data	0.175087244329	var	2.72181354361237e-6	mean_rowwise_cosine	FALSE	TRUE	0	3.297846966117506e-5	0.9174669543014996
mean_across_compounds	mean_rowwise_mae_var	neurips-2023-data	0.2210910835181101	var	1.9561812780572493e-6	mean_rowwise_mae	FALSE	TRUE	0	2.0529029101755998e-5	0.904711456720088
mean_across_compounds	mean_rowwise_rmse_var	neurips-2023-data	0.25307820291679073	var	3.2857439582118956e-6	mean_rowwise_rmse	FALSE	TRUE	0	1.709468056776457e-5	0.8077914386766711
mean_outcome	mean_rowwise_cosine_var	neurips-2023-data	0.181031763944	var	2.4764446769398175e-5	mean_rowwise_cosine	FALSE	TRUE	0	3.297846966117506e-5	0.24907228795540803
mean_outcome	mean_rowwise_mae_var	neurips-2023-data	0.3450383914177756	var	2.5431039117174087e-6	mean_rowwise_mae	FALSE	TRUE	0	2.0529029101755998e-5	0.876121569163742
mean_outcome	mean_rowwise_rmse_var	neurips-2023-data	0.3323926880503952	var	4.230902902242718e-6	mean_rowwise_rmse	FALSE	TRUE	0	1.709468056776457e-5	0.7525017864199856
